taxonID,area,gazetteer,status,referenceID,remarks
p611365062,"ZA, Gauteng",,NATIVE,614,
S609300180,"ZA, Gauteng",,NATIVE,655,
S590072060,"ZA, Gauteng",,NATIVE,655,
S521021350,"ZA, Gauteng",,NATIVE,3757,
S521120030,"ZA, Gauteng",,NATIVE,553,
S522020240,"ZA, Gauteng",,NATIVE,1100,
S522020120,"ZA, Gauteng",,NATIVE,534,
S521420230,"ZA, Gauteng",,NATIVE,1100,
S5214200360,"ZA, Gauteng",,NATIVE,2697,
S526010050,"ZA, Gauteng",,NATIVE,553,
S523050070,"ZA, Gauteng",,NATIVE,1267,
S523680060,"ZA, Gauteng",,NATIVE,552,
S530550030,"ZA, Gauteng",,NATIVE,4514,
S530570190,"ZA, Gauteng",,NATIVE,553,
S530570320,"ZA, Gauteng",,NATIVE,1623,
S530570340,"ZA, Gauteng",,NATIVE,1080,
S530210030,"ZA, Gauteng",,NATIVE,2296,
S530180130,"ZA, Gauteng",,NATIVE,553,
S655010030,"ZA, Gauteng",,NATIVE,1089,
S655010100,"ZA, Gauteng",,NATIVE,1080,
S655010220,"ZA, Gauteng",,NATIVE,1075,
S655110020,"ZA, Gauteng",,NATIVE,553,
S571720090,"ZA, Gauteng",,NATIVE,1798,
S571740030,"ZA, Gauteng",,NATIVE,2289,
S650140010,"ZA, Gauteng",,NATIVE,1078,
S655010235,"ZA, Gauteng",,NATIVE,1080,
S652080010,"ZA, Gauteng",,NATIVE,552,
S640140150,"ZA, Gauteng",,NATIVE,1075,
S742540330,"ZA, Gauteng",,NATIVE,1135,
S742540350,"ZA, Gauteng",,NATIVE,9418,
S742540790,"ZA, Gauteng",,NATIVE,594,
S742540220,"ZA, Gauteng",,NATIVE,553,
S742430070,"ZA, Gauteng",,NATIVE,1135,
S742540340,"ZA, Gauteng",,NATIVE,1019,
S650150010,"ZA, Gauteng",,NATIVE,1100,
S651700015,"ZA, Gauteng",,NATIVE,4641,
S650160010,"ZA, Gauteng",,NATIVE,553,
S701520770,"ZA, Gauteng",,NATIVE,969,
S701521390,"ZA, Gauteng",,NATIVE,969,
S701520740,"ZA, Gauteng",,NATIVE,553,
S714550080,"ZA, Gauteng",,NATIVE,553,
S714550200,"ZA, Gauteng",,NATIVE,3757,
S714550240,"ZA, Gauteng",,NATIVE,553,
S712560380,"ZA, Gauteng",,NATIVE,553,
S712560690,"ZA, Gauteng",,NATIVE,553,
S712560700,"ZA, Gauteng",,NATIVE,969,
S712560840,"ZA, Gauteng",,NATIVE,1078,
S714490020,"ZA, Gauteng",,NATIVE,553,
S715030020,"ZA, Gauteng",,NATIVE,553,
S715070030,"ZA, Gauteng",,NATIVE,969,
S730035010,"ZA, Gauteng",,NATIVE,553,
S731280020,"ZA, Gauteng",,NATIVE,1100,
S735050730,"ZA, Gauteng",,NATIVE,553,
S750540010,"ZA, Gauteng",,NATIVE,553,
S700670510,"ZA, Gauteng",,NATIVE,1753,
S750050010,"ZA, Gauteng",,NATIVE,553,
S750430020,"ZA, Gauteng",,NATIVE,553,
S725860120,"ZA, Gauteng",,NATIVE,1101,
S804010120,"ZA, Gauteng",,NATIVE,804,
S700220090,"ZA, Gauteng",,NATIVE,,
S902520210,"ZA, Gauteng",,NATIVE,2022,
S703551220,"ZA, Gauteng",,NATIVE,496,
S804050560,"ZA, Gauteng",,NATIVE,,
S720050070,"ZA, Gauteng",,NATIVE,3729,
