author,ID,citation,title,year,source,doi,link,remarks
Leraut P.,10082,"Leraut P., 2008c, Ebauche d'une liste des pyrales de France (Lepidoptera, Pyraloidea). vol 28 (2007) issue 4 pages 149–166","Ebauche d'une liste des pyrales de France (Lepidoptera, Pyraloidea).",2008,,,,
Chittenden F. H.,10083,"Chittenden F. H., 1912, The potato-tuber moth. A preliminary account. vol  issue  pages 1–5",The potato-tuber moth. A preliminary account.,1912,,,https://www.biodiversitylibrary.org/page/41352652,
Herbulot C.,10084,"Herbulot C., 1992h, Homonymie dans le genre Scopula (Lepidoptera, Geometridae). vol 9 issue 1 pages 47","Homonymie dans le genre Scopula (Lepidoptera, Geometridae).",1992,,,,
Hladik G. L.,10085,"Hladik G. L., 2022, Le prix n'est pas la seule valeur d'existence chez les Uraniidae de Madagascar (Lepidoptera : Uraniidae). vol 21 issue 52 pages 82–83",Le prix n'est pas la seule valeur d'existence chez les Uraniidae de Madagascar (Lepidoptera : Uraniidae).,2022,,,,
Lees D. C. & Smith N. G.,10086,"Lees D. C. & Smith N. G., 2019, Foodplant associations of the Uraniinae (Uraniidae) and their systematic, evolutionary, and ecological significance. vol 45 issue 4 pages 296–347","Foodplant associations of the Uraniinae (Uraniidae) and their systematic, evolutionary, and ecological significance.",2019,,,https://www.biodiversitylibrary.org/page/41137464,
Camboué R. P.,10087,"Camboué R. P., 1889, L'Urania rhipheus Bdv. Quelques notes sur les états imparfaits ou larvaires. vol 36 issue  pages 439–441",L'Urania rhipheus Bdv. Quelques notes sur les états imparfaits ou larvaires.,1889,,,https://www.biodiversitylibrary.org/page/37050180,
Camboué R. P.,10088,"Camboué R. P., 1892, Sur l'Urania rhipheus. vol  issue  pages 180–184",Sur l'Urania rhipheus.,1892,,,https://gallica.bnf.fr/ark:/12148/bpt6k14179228,
Maes K. V. N.,10089,"Maes K. V. N., 2022a, Studies on African Crambidae I- a new genus and species from Africa (Pyraloidea: Crambidae: Spilomelinae). vol 33 issue  pages 64–67",Studies on African Crambidae I- a new genus and species from Africa (Pyraloidea: Crambidae: Spilomelinae).,2022,,,https://www.metamorphosis.org.za/articlesPDF/1694/2022.07.22%20Metamorphosis%2033_64-67%20Maes%20Metasibotys%20Final%20rev.pdf,
"Nuss M., Landry B., Mally R., Vegliante F., Tränkner A., Bauer F., Hayden J., Segerer A., Schouten R., Li H., Trofimova T., Solis M. A., De Prins J. & Speidel W.",10091,"Nuss M., Landry B., Mally R., Vegliante F., Tränkner A., Bauer F., Hayden J., Segerer A., Schouten R., Li H., Trofimova T., Solis M. A., De Prins J. & Speidel W., 2003–2022, Global Information System on Pyraloidea. vol  issue  pages ",Global Information System on Pyraloidea.,2003,,,http://www.pyraloidea.org/,
Rose H. S. & Kirti J. S.,10092,"Rose H. S. & Kirti J. S., 1986, Comments on the genus Bocchoris Moore along with the description of a new genus Nankogobinda (Pyraustinae: Pyralidae: Lepidoptera). vol 10 issue 1 pages 63–69",Comments on the genus Bocchoris Moore along with the description of a new genus Nankogobinda (Pyraustinae: Pyralidae: Lepidoptera).,1986,,,https://www.researchgate.net/profile/Jagbir-Kirti-2/publication/333972405_Comments_on_the_genus_Bocchoris_Moore_along_with_the_description_of_new_a_genus_Nanakogobinda_Pyraustinae_Pyralidae_lepidoptera/links/5d10737ba6fdcc2462a033bf/Comments-on-the-genus-Bocchoris-Moore-along-with-the-description-of-new-a-genus-Nanakogobinda-Pyraustinae-Pyralidae-lepidoptera.pdf,
Fletcher D. S. & Nye I. W. B.,10093,"Fletcher D. S. & Nye I. W. B., 1984, The generic names of moths of the world. Pyraloidea. vol 5 issue  pages i–xv, 1–185",The generic names of moths of the world. Pyraloidea.,1984,,,https://www.biodiversitylibrary.org/page/51211873,
