taxonID,relatedTaxonID,relatedTaxonScientificName,type,referenceID,remarks
S173810030,,Dioscorea sp. ,has host,103,
S173810030,,Euphorbia resinifera A. Berger,has host,1903,
S173810440,,Pandanus montanus Bory,has host,7499,
S173860150,,Erythrina caffra Thunb.,has host,2234,
S173860160,,Cocos nucifera L.,has host,3790,
S173860160,,Saccharum sp. ,has host,3790,
S173860270,,Pithecollobium dulce (Roxb.) Benth.,has host,7499,
S173860370,,Cyclamen sp. ,has host,923,
S173860370,,Fuchsia sp. ,has host,923,
S173860370,,Limonium sp. ,has host,923,
S173860370,,Persea sp. ,has host,923,
S173860370,,Quercus suber L.,has host,923,
S173860370,,Saccharum sp. ,has host,923,
S173860370,,Thuja sp. ,has host,923,
S173860430,,Albizia sp. ,has host,2053,
S173860430,,Begonia sp. ,has host,2053,
S173860430,,"Carica papaya (L., 1753)",has host,1903,
S173860430,,Clerodendrum sp. ,has host,2053,
S173860430,,Dioscorea sp. ,has host,2053,
S173860430,,Dracaena reflexa ,has host,2053,
S173860430,,Erythrina variegata L.,has host,2053,
S173860430,,Euphorbia pulcherrima ,has host,2053,
S173860430,,Ficus elastica Roxb. ex Hornem.,has host,2053,
S173860430,,Hibiscus sp. ,has host,2053,
S173860430,,Ipomoea batatas (L.) Lam.,has host,2053,
S173860430,,Musa sp. ,has host,2053,
S173860430,,Saccharum officinarum L.,has host,2053,
S173860430,,Solanum sp. ,has host,2053,
S173860430,,Undefined Decaying vegetable matter ,has host,1515,
S173860430,,Undefined polyphagous ,has host,2053,
S173860430,,Zingiber officinale Roscoe,has host,2053,
S173860450,,Aloe sp. ,has host,233,
S173860450,,Gasteria sp. ,has host,7234,
S173860450,,Haworthia sp. ,has host,2234,
S173860480,,Undefined Decaying vegetable matter ,has host,2053,
S173900060,,Undefined Decaying animal matter ,has host,1809,
S174010010,,Undefined Coccoidea ,has host,7,
S174010070,,Undefined Coccoidea ,has host,7,
S174010070,,Undefined Decaying vegetable matter ,has host,7,
S174010140,,Acacia sp. ,has host,2053,
S174010140,,Cola acuminata Schott & Endl.,has host,7,
S174010140,,Eugenia sp. ,has host,2053,
S174010140,,Undefined Decaying animal matter ,has host,391,
S174120010,,Undefined Fungi ,has host,375,
S180010140,,Gossypium sp. ,has host,7,
S180010140,,Gossypium sp. ,has host,191,
S180010220,,Ipomoea batatas (L.) Lam.,has host,266,
S180020010,,Ozoroa paniculosa (Sond.) R. Fern. & A. Fern.,has host,7111,
S185010010,,Abelmoschus moschatus Medik,has host,135,
S185010010,,Calophyllum inophyllum L.,has host,289,
S185010040,,Annona cherimolia Mill.,has host,7,
S185010050,,Gambeya gorungosana (Engl.) Liben,has host,2056,
S185010050,,Mimusops zeyheri Sond.,has host,10384,
S185010060,,Coffea sp. ,has host,2057,
S185010060,,Coffea sp. ,has host,4335,
S185010070,,Annona squamosa L.,has host,232,
S185010070,,Cussonia holstii Engl.,has host,4069,
S185010080,,Combretum apiculatum Sond.,has host,2056,
S185010080,,Combretum zeyheri Sond.,has host,10561,
S185010100,,Ficus natalensis Hochst.,has host,2056,
S185010100,,Ficus trichopoda Baker,has host,2055,
S185010100,,Ficus trichopoda Baker,has host,2056,
S185010120,,Gossypium herbaceum L.,has host,2056,
S185010120,,Gossypium hirsutum L.,has host,2056,
S185010120,,Gossypium sp. ,has host,6968,
S185010170,,Psiadia altissima Benth & Hook,has host,1211,
S185010170,,Psiadia punctulata Vatke,has host,1468,
S185010170,,Toona ciliata M. Roem.,has host,151,
S185010230,,Ochna natalitia (Meisn.) Walp.,has host,2056,
S185010280,,Bridelia micrantha (Hochst.) Baill.,has host,408,
